CHEMBL2106634,FC(F)(Cl)Cl
CHEMBL1618272,N#CCCN
CHEMBL3234722,OCCCS
CHEMBL345249,FC(Cl)(Br)Br
CHEMBL1478334,CCCC=O
CHEMBL4061178,[C-]#[N+]C(C)C
CHEMBL3187514,N#CCC#N
CHEMBL1161637,[O-][I+3]([O-])([O-])O
CHEMBL160548,NCCCP
CHEMBL15967,c1cn[nH]c1
CHEMBL3185875,ClCOCCl
CHEMBL1600824,C=CC(C)=O
CHEMBL1235716,CCC(N)=O
CHEMBL1673038,CSC(N)=S
CHEMBL4101550,COCCN
CHEMBL104083,CNCCO
CHEMBL256250,NNC(N)=S
CHEMBL11544,CNC(C)=O
CHEMBL230163,C=C=CCO
CHEMBL15849,CCC(C)=O
CHEMBL140282,CC(C)NO
CHEMBL1086445,C/C=C/C=O
CHEMBL346529,CCC(C)Cl
CHEMBL117311,CN(C)N=O
CHEMBL160802,ClC(Cl)(Cl)Br
CHEMBL3986754,O=CC(=O)[O-]
CHEMBL1797299,C1=CCCC1
CHEMBL13782,CC(C)(C)N
CHEMBL1207889,O=S(=O)(O)F
CHEMBL356703,CSC(=N)N
CHEMBL157368,C=C(C)CCl
CHEMBL3039753,COC(=S)S
CHEMBL1213529,C=CC(=O)O
CHEMBL268291,CN(C)C=O
CHEMBL3182458,CC(C)(C)S
CHEMBL449234,OC1CCC1
CHEMBL118459,C/C=C/CO
CHEMBL1230102,OCCCCl
CHEMBL15537,COCOC
CHEMBL541688,C1=NNCO1
CHEMBL160949,CCCCBr
CHEMBL2171712,c1cnsc1
CHEMBL444144,COCCO
CHEMBL3188256,CCCCS
CHEMBL1370850,C1CCCC1
CHEMBL348107,C=CC(N)=O
CHEMBL15571,c1nc[nH]n1
CHEMBL2171710,c1cocn1
CHEMBL259526,C=CNC#N
CHEMBL16262,C#CCCC
CHEMBL1162286,NCCCF
CHEMBL3186956,CCC(C)N
CHEMBL3183103,O=P(Cl)(Cl)Cl
CHEMBL2148102,c1c[nH]nn1
CHEMBL3187776,O=C(O)CS
CHEMBL4297314,C1COCN1
CHEMBL2323847,N#C[N-]C#N
CHEMBL13968,CCCCN
CHEMBL286398,CC(O)CO
CHEMBL279816,ClC=C(Cl)Cl
CHEMBL232233,NS(=O)(=O)[O-]
CHEMBL376280,O=C(O)CI
CHEMBL405641,CN[N+](=O)[O-]
CHEMBL3186550,O=C([O-])CCl
CHEMBL276521,C1CCOC1
CHEMBL14021,CCC(=O)O
CHEMBL1492874,CC(C)C#N
CHEMBL16080,CC(Cl)(Cl)Cl
CHEMBL16102,CCCCC
CHEMBL3183438,CCC(C)S
CHEMBL2148103,c1nnn[nH]1
CHEMBL1566132,C=CC(=C)C
CHEMBL1361129,CC(O)CCl
CHEMBL44215,CCOC=O
CHEMBL326602,CC(O)CN
CHEMBL3186735,O=S(=O)(Cl)Cl
CHEMBL2106936,O=P(O)(O)O
CHEMBL3250412,[O-][Cl+3]([O-])([O-])[O-]
CHEMBL1549844,O=S(=O)([O-])[O-]
CHEMBL1377189,c1nc[n-]n1
CHEMBL156075,C=C(Cl)CCl
CHEMBL160966,CC(C)CCl
CHEMBL1085947,CC(=O)CBr
CHEMBL1213530,C#CC(=O)O
CHEMBL2251719,CNC(=S)[S-]
CHEMBL555660,C=CC(=C)Cl
CHEMBL3274945,NC(=S)NO
CHEMBL2096650,O=S([O-])([O-])=S
CHEMBL277871,CSCCO
CHEMBL317004,C1=CNCN1
CHEMBL448626,ClC[C@H]1CO1
CHEMBL3304035,N=C(N)CS
CHEMBL177264,N#CC1CN1
CHEMBL46486,C[N+](C)(C)C
CHEMBL44641,CC(Cl)CCl
CHEMBL3185326,C=CC(=O)[O-]
CHEMBL1995721,C[P+](C)(C)C
CHEMBL278980,c1ccoc1
CHEMBL283149,C[S+](C)(C)=O
CHEMBL403038,CS[S+](C)[O-]
CHEMBL1161634,[O-][Cl+3]([O-])([O-])O
CHEMBL368734,[O-][S+]1CCC1
CHEMBL3182300,COC(=O)Cl
CHEMBL1299388,C=CC1CO1
CHEMBL2105883,C=COC=C
CHEMBL122938,CP(=O)(O)O
CHEMBL60628,NC(=O)CBr
CHEMBL30446,O=C1CNCN1
CHEMBL468581,OC(CCl)CCl
CHEMBL1213747,CC(C)(C)ON
CHEMBL296027,CC(C)NC=O
CHEMBL58562,C/C=C/C(N)=O
CHEMBL543,Cn1ccnc1
CHEMBL2001945,CN(C)C=[N+]=[N-]
CHEMBL1990700,O=C(O)CCCl
CHEMBL3182125,ClCC=CCCl
CHEMBL25355,C[S+](C)CCO
CHEMBL2380738,CCOC(=S)[S-]
CHEMBL2448976,CCCN(C)C
CHEMBL2270060,CCC(C)C=O
CHEMBL3935635,CC1=NCCN1
CHEMBL3183037,C1CSCCS1
CHEMBL346933,ClCC(Cl)CCl
CHEMBL1524256,CC(C)N(C)C
CHEMBL1213531,C=C(C)C(=O)O
CHEMBL3410462,O=S([O-])S(=O)[O-]
CHEMBL18620,O=C1CCCC1
CHEMBL30940,CC1CCCC1
CHEMBL1650237,Nc1nncs1
CHEMBL292983,Fc1ncc[nH]1
CHEMBL102029,NC1NC=CN1
CHEMBL503563,OC[C@H](Cl)CCl
CHEMBL1171,OCC(Cl)(Cl)Cl
CHEMBL3276057,C1OCC2OC12
CHEMBL1231501,C[C@H](O)CCO
CHEMBL31747,C=CCCC=C
CHEMBL3187041,CC(S)C(C)S
CHEMBL348039,CCCCCCl
CHEMBL1230156,C[n+]1ccsc1
CHEMBL1697703,C=CCOC=O
CHEMBL2448948,FC1CCNC1
CHEMBL362148,NC1=NCCS1
CHEMBL3182034,C=CC/C=C/C
CHEMBL1794186,OC[C@@H](O)CCl
CHEMBL1595985,C=CCCC#N
CHEMBL447555,CNC(=N)NN
CHEMBL177481,CCC(F)CC
CHEMBL175201,NCC(=O)CN
CHEMBL467595,OC[C@H](O)CI
CHEMBL3181803,O=C1OCCO1
CHEMBL158800,CC(C)CCBr
CHEMBL352037,CC(Cl)CCCl
CHEMBL330591,CC1NC=CN1
CHEMBL1398948,OCC(O)CS
CHEMBL3189061,O=CC(Br)(Br)Br
CHEMBL3183368,C=CC(C)(C)C
CHEMBL1968682,OCC(S)CS
CHEMBL332887,CSCCCO
CHEMBL545471,CNC(=N)NC
CHEMBL1492415,NOCC(=O)O
CHEMBL1232411,COCCOC
CHEMBL1794753,O=[S@@](O)[S@@](=O)O
CHEMBL330406,BrC1NC=CN1
CHEMBL1631346,NC(=O)C(N)O
CHEMBL313493,COS(C)(=O)=O
CHEMBL281021,NCCCON
CHEMBL348399,CC(C)(C)OO
CHEMBL3580424,CN(C)CCCl
CHEMBL3039654,N#CNC(=S)S
CHEMBL1908221,C#CC(C)(C)C
CHEMBL1974422,O=c1ccs[nH]1
CHEMBL1162310,O=P(O)(O)OO
CHEMBL160833,C=C(CCl)CCl
CHEMBL406511,CN(C)[N+](=O)[O-]
CHEMBL1465793,ClP(Cl)(Cl)(Cl)Cl
CHEMBL3276497,OCC(O)CBr
CHEMBL3188688,CC(=O)C(Cl)Cl
CHEMBL544458,COC(=O)CN
CHEMBL195540,NS(=O)(=O)NO
